MATRICULA;CURSO;MODULO;FUNCIONARIO;ORDEM;STATUS;AULA_ATUAL;INTERATIVIDADE;VIRTUAIS;REPROVADO;APOSTILAENTREGUE;DATAPRIMEIROACESSO;DATAPRVISAOCONCLUSAOCURSO;DATACONCLUSACURSO;INTER_EXTENDIDO;DATA_ENTREGA_APOSTILA;FUNCIONARIO_ENTREGA_APOST;APOSTILA_REENTREGUE;TIPOAPOSTILA
1;2;7;1;2;C;16;S;N;N;S;25.01.2017;29.03.2017;15.03.2017;N;12.01.2017;1;N;DIGITAL
1;6;7;1;1;C;16;S;N;N;S;07.12.2016;08.02.2017;25.01.2017;N;11.01.2017;1;N;DIGITAL
1;17;7;1;3;C;17;S;N;N;S;15.03.2017;17.05.2017;19.04.2017;N;12.01.2017;1;N;DIGITAL
1;38;7;1;6;E;;;;;S;28.12.2017;;;N;12.01.2017;1;N;DIGITAL
1;54;7;1;5;A;3;S;N;N;S;26.10.2017;28.12.2017;30.11.2017;N;12.01.2017;1;N;DIGITAL
1;58;7;1;4;C;16;S;N;N;S;19.04.2017;21.06.2017;26.10.2017;N;12.01.2017;1;N;DIGITAL
1;94;7;1;7;E;;;;;S;;;;N;12.01.2017;1;N;DIGITAL
3;2;7;1;2;C;16;S;N;N;S;08.03.2017;10.05.2017;22.03.2017;N;12.01.2017;1;N;DIGITAL
3;6;7;1;1;C;16;S;N;N;S;07.12.2016;08.02.2017;08.03.2017;N;11.01.2017;1;N;DIGITAL
3;17;7;1;3;C;17;S;N;N;S;22.03.2017;24.05.2017;28.04.2017;N;12.01.2017;1;N;DIGITAL
3;38;7;1;6;A;4;S;N;N;S;11.08.2017;13.10.2017;08.12.2017;N;12.01.2017;1;N;DIGITAL
3;54;7;1;5;C;12;S;N;N;S;30.06.2017;01.09.2017;11.08.2017;N;12.01.2017;1;N;DIGITAL
3;58;7;1;4;C;16;S;N;N;S;28.04.2017;30.06.2017;30.06.2017;N;12.01.2017;1;N;DIGITAL
3;94;7;1;7;E;;;;;S;13.10.2017;;;N;12.01.2017;1;N;DIGITAL
5;23;16;1;4;C;23;S;N;N;S;07.12.2016;08.03.2017;18.08.2017;N;11.01.2017;1;N;DIGITAL
5;73;16;1;2;C;17;S;N;N;S;24.11.2017;26.01.2018;17.08.2018;N;12.01.2017;1;N;DIGITAL
5;93;16;1;3;C;18;S;N;N;S;18.08.2017;20.10.2017;24.11.2017;N;12.01.2017;1;N;DIGITAL
5;94;16;1;1;C;21;S;N;N;S;26.01.2018;;18.05.2018;N;12.01.2017;1;N;DIGITAL
6;91;19;1;1;C;56;S;N;N;S;07.12.2016;12.07.2017;16.03.2018;N;11.01.2017;1;N;DIGITAL
6;107;19;1;2;A;9;S;N;N;S;16.03.2018;19.10.2018;10.08.2018;N;12.01.2017;1;N;DIGITAL
6;119;19;1;3;E;;;;;S;19.10.2018;;;N;12.01.2017;1;N;DIGITAL
7;91;19;1;1;C;56;S;N;N;S;05.12.2016;10.07.2017;13.07.2017;N;11.01.2017;1;N;DIGITAL
7;107;19;1;2;A;16;S;N;S;S;13.07.2017;15.02.2018;22.09.2017;N;12.01.2017;1;N;DIGITAL
