CODIGO;DESCRICAO;DURACAO;PARCELAS;N_HORAS;EXERVIRTUAIS;QTD_APOSTILA;ATIVO;VALOR;REQUERAPOSTILA;POSEST;STATUSEST;QTD_APOSTILA_DIG;CANCELADOFRANQUEADORA;INCLUSAO;IMAGEM;OCULTO;MAPAKIDS;HORASCURSO;LINKINDICE
1;ACCESS 2003;2;2;15;S;1;S;;1;N;N;0;N;S;ONLINE;N;N;15;
2;CONTABILIDADE COM ESCRITA FISCAL 7;2;2;16;N;1;S;;1;N;N;5;N;S;ONLINE;N;N;16;
3;CORELDRAW 12;2;2;16;S;0;S;;1;N;N;5;N;S;ONLINE;N;N;16;
4;DELPHI 7 MOD I;2;2;17;N;2;S;;1;N;N;10;N;S;ONLINE;N;N;17;
5;DELPHI 7 MOD. II;2;2;16;N;2;S;;1;N;N;10;N;S;ONLINE;N;N;16;
6;DEPARTAMENTO PESSOAL 7;2;2;16;N;1;S;;1;N;N;20;N;S;ONLINE;N;N;16;
8;DREAMWEAVER 8;2;2;18;S;0;S;;1;N;N;5;N;S;ONLINE;N;N;18;
9;EXCEL 2003;2;2;16;S;1;S;;1;N;N;0;N;S;ONLINE;N;N;16;
10;EXCEL 2003 KIDS;1;1;9;S;0;S;;1;N;N;0;N;S;ONLINE;N;N;9;
11;FIREWORKS 8;2;2;16;S;0;S;;1;N;N;5;N;S;ONLINE;N;N;16;
12;FLASH 8;2;2;15;S;0;S;;1;N;N;5;N;S;ONLINE;N;N;15;
13;FRONTPAGE 2003;2;2;14;S;0;S;;1;N;N;0;N;S;ONLINE;N;N;14;
14;HTML 6;2;2;16;N;0;S;;1;N;N;10;N;S;ONLINE;N;N;16;
15;INTERNET 6;1;1;6;S;0;S;;1;N;N;0;N;S;ONLINE;N;N;6;
16;INTERNET 6 KIDS;1;1;5;S;0;S;;1;N;N;0;N;S;ONLINE;N;N;5;
17;MATEMÁTICA FINANCEIRA COM HP 12C 7;2;2;17;N;0;S;;1;N;N;10;N;S;ONLINE;N;N;17;
18;PAGEMAKER;2;2;15;S;0;S;;1;N;N;5;N;S;ONLINE;N;N;15;
19;PHOTOSHOP CS;2;2;16;S;0;S;;1;N;N;0;N;S;ONLINE;N;N;16;
